Source,Translation,Context
LTV,Giá trị trọn đời,
Customer Tier,Hạng khách hàng,
Tier,Hạng,
VIP,VIP,
Regular,Thường,
New Customer,Khách hàng mới,
Repeat Customer,Khách hàng quay lại,
Loyal Customer,Khách hàng trung thành,
Inactive Customer,Khách hàng không hoạt động,
Churned,Đã rời bỏ,
At Risk,Rủi ro,
Quote,Báo giá,
Quotes,Báo giá,
Quote Number,Số báo giá,
Quote Date,Ngày báo giá,
Quote Total,Tổng báo giá,
Converted to Order,Đã chuyển thành đơn hàng,
Converted to Invoice,Đã chuyển thành hóa đơn,
Auto Convert,Tự động chuyển,
Send Quote,Gửi báo giá,
Approve Quote,Phê duyệt báo giá,
Reject Quote,Từ chối báo giá,
Negotiate,Đàm phán,
Ready to Close,Sẵn sàng chốt,
Sales Order Number,Số đơn bán,
Sales Order Date,Ngày đơn bán,
Delivery Schedule,Lịch giao hàng,
Delivery Target,Mục tiêu giao hàng,
Not Delivered,Chưa giao,
Customer PO Number,Số PO khách hàng,
Customer PO Date,Ngày PO khách hàng,
Order Source,Nguồn đơn hàng,
Online,Trực tuyến,
Offline,Ngoại tuyến,
Walk In,Trực tiếp,
Phone Order,Đơn đặt qua điện thoại,
Email Order,Đơn đặt qua email,
Website Order,Đơn đặt qua website,
Sales Channel,Kênh bán hàng,
Retail,Bán lẻ,
Wholesale,Bán sỉ,
Distributor,Nhà phân phối,
Direct Sale,Bán trực tiếp,
Cross Sell,Bán chéo,
Upsell,Bán thêm,
Bundle,Gói,
Combo,Combo,
Package,Gói,
Discount Code,Mã giảm giá,
Coupon,Phiếu giảm giá,
Promo Code,Mã khuyến mãi,
Voucher Code,Mã phiếu mua hàng,
Gift Card,Thẻ quà tặng,
Loyalty Point,Điểm tích lũy,
Loyalty Points,Điểm tích lũy,
Earn Points,Tích điểm,
Redeem Points,Đổi điểm,
Points Balance,Số dư điểm,
Points Expiry,Hạn điểm,
Reward,Phần thưởng,
Rewards,Phần thưởng,
Discount Type,Loại giảm giá,
Percentage Discount,Giảm theo phần trăm,
Fixed Discount,Giảm cố định,
Tiered Discount,Giảm theo hạng,
Volume Discount,Giảm theo số lượng,
Bulk Discount,Giảm mua sỉ,
Early Bird Discount,Giảm đặt sớm,
Seasonal Discount,Giảm theo mùa,
Clearance Discount,Giảm thanh lý,
Flash Sale,Khuyến mãi chớp nhoáng,
Black Friday,Black Friday,
Special Offer,Ưu đãi đặc biệt,
Limited Time,Thời gian giới hạn,
Available,Còn hàng,
Out of Stock Alert,Cảnh báo hết hàng,
Back in Stock,Có hàng trở lại,
Pre-order,Đặt trước,
Backorder,Đặt hàng sau,
Sales Target,Mục tiêu bán hàng,
Monthly Target,Mục tiêu tháng,
Quarterly Target,Mục tiêu quý,
Annual Target,Mục tiêu năm,
Daily Target,Mục tiêu ngày,
Weekly Target,Mục tiêu tuần,
Target Amount,Số tiền mục tiêu,
Achieved,Đã đạt,
Behind Target,Chậm mục tiêu,
On Track,Đúng tiến độ,
Exceed Target,Vượt mục tiêu,
Performance Report,Báo cáo hiệu suất,
Sales Report,Báo cáo bán hàng,
Sales Analytics,Phân tích bán hàng,
Revenue Report,Báo cáo doanh thu,
Revenue Trend,Xu hướng doanh thu,
Customer Analytics,Phân tích khách hàng,
Customer Insights,Thông tin khách hàng,
Conversion Rate,Tỷ lệ chuyển đổi,
Conversion Funnel,Phễu chuyển đổi,
Bounce Rate,Tỷ lệ thoát,
Engagement,Tương tác,
Engagement Rate,Tỷ lệ tương tác,
Click Rate,Tỷ lệ nhấp,
Open Rate,Tỷ lệ mở,
Click Through Rate,Tỷ lệ nhấp qua,
CTR,CTR,
ROI,ROI,
Return on Investment,Lợi tức đầu tư,
CAC,Chi phí thu hút KH,
Customer Acquisition Cost,Chi phí thu hút KH,
Churn Rate,Tỷ lệ rời bỏ,
Retention Rate,Tỷ lệ giữ chân,
# ---- CRM actions ----
Add Lead,Thêm khách hàng tiềm năng,
Import Leads,Nhập khách hàng tiềm năng,
Export Leads,Xuất khách hàng tiềm năng,
Assign Lead,Phân công khách hàng tiềm năng,
Qualify Lead,Đánh giá khách hàng tiềm năng,
Convert Lead,Chuyển đổi khách hàng tiềm năng,
Disqualify Lead,Loại bỏ khách hàng tiềm năng,
Add Opportunity,Thêm cơ hội,
Add Quotation,Thêm báo giá,
Add Sales Order,Thêm đơn bán,
Add Customer,Thêm khách hàng,
Add Contact,Thêm liên hệ,
Add Communication,Thêm liên lạc,
Schedule Meeting,Lên lịch họp,
Schedule Call,Lên lịch gọi,
Log Activity,Ghi nhận hoạt động,
Log Call,Ghi nhận cuộc gọi,
Log Email,Ghi nhận email,
Log Meeting,Ghi nhận cuộc họp,
# ---- CRM fields ----
First Response Time,Thời gian phản hồi lần đầu,
Response Time Avg,Thời gian phản hồi trung bình,
Avg Deal Size,Giá trị giao dịch trung bình,
Deal Size,Giá trị giao dịch,
Deal Stage,Giai đoạn giao dịch,
Deal Owner,Người phụ trách giao dịch,
Expected Revenue,Doanh thu dự kiến,
Weighted Revenue,Doanh thu có trọng số,
Pipeline Value,Giá trị đường ống,
Sales Velocity,Tốc độ bán hàng,
Win Rate,Tỷ lệ thắng,
Loss Rate,Tỷ lệ thua,
Loss Reason,Lý do thua,
Won Reason,Lý do thắng,
Competitor,Đối thủ cạnh tranh,
Competition,Cạnh tranh,
Market Share,Thị phần,
Territory Manager,Quản lý khu vực,
Regional Manager,Quản lý vùng,
Country Manager,Quản lý quốc gia,
# ---- Enquiry ----
Enquiry,Yêu cầu thông tin,
Enquiry Type,Loại yêu cầu,
Enquiry Date,Ngày yêu cầu,
Enquiry Source,Nguồn yêu cầu,
Enquiry From,Yêu cầu từ,
Inquiry,Yêu cầu,
Inquiry Subject,Tiêu đề yêu cầu,
Product Inquiry,Yêu cầu sản phẩm,
Service Inquiry,Yêu cầu dịch vụ,
Price Inquiry,Yêu cầu báo giá,
General Inquiry,Yêu cầu chung,
# ---- Customer service ----
Customer Support,Hỗ trợ khách hàng,
Customer Feedback,Phản hồi khách hàng,
NPS Score,Điểm NPS,
Net Promoter Score,Điểm NPS,
CSAT,CSAT,
Customer Satisfaction,Sự hài lòng KH,
Complaint,Khiếu nại,
Complaints,Khiếu nại,
Complaint Type,Loại khiếu nại,
Complaint Status,Trạng thái khiếu nại,
Compliment,Khen ngợi,
Suggestion,Đề xuất,
# ---- Campaign ----
Marketing Campaign,Chiến dịch tiếp thị,
Campaign Name,Tên chiến dịch,
Campaign Type,Loại chiến dịch,
Campaign Status,Trạng thái chiến dịch,
Campaign Budget,Ngân sách chiến dịch,
Campaign Cost,Chi phí chiến dịch,
Campaign ROI,ROI chiến dịch,
SMS Campaign,Chiến dịch SMS,
Social Campaign,Chiến dịch mạng xã hội,
Display Campaign,Chiến dịch hiển thị,
Search Campaign,Chiến dịch tìm kiếm,
Video Campaign,Chiến dịch video,
Audience,Đối tượng,
Target Audience,Đối tượng mục tiêu,
Segment,Phân khúc,
Segmentation,Phân khúc,
Customer Segment,Phân khúc khách hàng,
Demographics,Nhân khẩu học,
Behavior,Hành vi,
Interest,Sở thích,
Conversion,Chuyển đổi,
Conversions,Chuyển đổi,
Lead Generation,Tạo khách hàng tiềm năng,
Lead Capture,Thu thập khách hàng tiềm năng,
Lead Nurturing,Nuôi dưỡng khách hàng tiềm năng,
Email Drip,Chiến dịch email chuỗi,
Autoresponder,Phản hồi tự động,
# ---- Contracts ----
Contract Number,Số hợp đồng,
Contract Date,Ngày hợp đồng,
Contract Value,Giá trị hợp đồng,
Contract Duration,Thời hạn hợp đồng,
Renewal Date,Ngày gia hạn,
Renewal Amount,Số tiền gia hạn,
Auto Renewal,Tự động gia hạn,
Non Renewable,Không gia hạn,
Expiry Notification,Thông báo hết hạn,
Contract Status,Trạng thái hợp đồng,
Active Contract,Hợp đồng đang hiệu lực,
Expired Contract,Hợp đồng hết hạn,
Terminated Contract,Hợp đồng chấm dứt,
Renewed Contract,Hợp đồng đã gia hạn,
# ---- Service & subscription ----
Subscription,Đăng ký,
Subscription Plan,Gói đăng ký,
Subscription Price,Giá đăng ký,
Subscription Duration,Thời hạn đăng ký,
Billing Cycle,Chu kỳ thanh toán,
Billing Frequency,Tần suất thanh toán,
Billing Date,Ngày thanh toán,
Next Billing,Lần thanh toán tiếp theo,
Subscription Status,Trạng thái đăng ký,
Pause Subscription,Tạm dừng đăng ký,
Resume Subscription,Tiếp tục đăng ký,
Cancel Subscription,Hủy đăng ký,
Trial,Dùng thử,
Trial Period,Thời gian dùng thử,
Trial Expiry,Hết thời gian dùng thử,
Grace Period,Thời gian gia hạn,
Recurring Invoice,Hóa đơn định kỳ,
Auto Invoice,Hóa đơn tự động,
# ---- Pricing ----
Price List Rate,Giá theo bảng giá,
Base Rate,Giá cơ sở,
Rate Type,Loại giá,
Net Rate,Giá thuần,
Final Rate,Giá cuối cùng,
Ceiling Rate,Giá trần,
Floor Rate,Giá sàn,
Retail Price,Giá bán lẻ,
Wholesale Price,Giá bán sỉ,
MSRP,Giá đề xuất,
List Price,Giá niêm yết,
Landing Price,Giá cập bến,
Delivered Price,Giá đã giao,
Net Price,Giá thuần,
Gross Price,Giá gộp,
Tax Inclusive,Đã bao gồm thuế,
Tax Exclusive,Chưa bao gồm thuế,
Including Tax,Gồm thuế,
Excluding Tax,Không gồm thuế,
Before Tax,Trước thuế,
After Tax,Sau thuế,
# ---- Additional ----
Area Manager,Quản lý khu vực,
Zone Manager,Quản lý vùng,
District Manager,Quản lý quận,
Branch Manager,Quản lý chi nhánh,
Store Manager,Quản lý cửa hàng,
# ======================================================================
# BATCH 2: Buying & Stock Deep
# ======================================================================
Supplier Type,Loại nhà cung cấp,
Supplier Category,Danh mục NCC,
Preferred Supplier,NCC ưu tiên,
Approved Supplier,NCC đã duyệt,
Blocked Supplier,NCC bị chặn,
On Hold Supplier,NCC tạm ngưng,
Supplier Rating,Xếp hạng NCC,
Supplier Score,Điểm NCC,
Supplier Evaluation,Đánh giá NCC,
Supplier Performance,Hiệu suất NCC,
On Time Delivery,Giao đúng hạn,
Late Delivery,Giao trễ,
Quality Issue,Vấn đề chất lượng,
Price Competitiveness,Tính cạnh tranh giá,
Responsiveness,Khả năng phản hồi,
Supplier Quote,Báo giá NCC,
Supplier Quote Number,Số báo giá NCC,
Supplier Quote Date,Ngày báo giá NCC,
Valid Until,Có hiệu lực đến,
Lead Time Days,Số ngày giao hàng,
MOQ,Số lượng đặt tối thiểu,
Minimum Order Quantity,Số lượng đặt tối thiểu,
Pack Size,Kích thước gói,
Pack Quantity,Số lượng trong gói,
Price Break,Mốc giá,
Volume Price,Giá theo khối lượng,
Bulk Price,Giá mua sỉ,
Purchase Invoice Number,Số hóa đơn mua,
Purchase Invoice Date,Ngày hóa đơn mua,
PO Date,Ngày đơn mua,
PO Number,Số đơn mua,
PO Status,Trạng thái đơn mua,
Expected Delivery Date,Ngày giao dự kiến,
Actual Delivery Date,Ngày giao thực tế,
Delivery Window,Cửa sổ giao hàng,
Delivery Confirmation,Xác nhận giao hàng,
Delivery Incomplete,Giao không đủ,
Quantity Variance,Chênh lệch số lượng,
Price Variance,Chênh lệch giá,
Invoice Variance,Chênh lệch hóa đơn,
Quality Check,Kiểm tra chất lượng,
Quality Check Result,Kết quả kiểm tra,
Quality Status,Trạng thái chất lượng,
Accepted,Đã chấp nhận,
Return to Supplier,Trả lại NCC,
Supplier Return,Trả hàng NCC,
Defective Return,Trả hàng lỗi,
Warranty Return,Trả bảo hành,
RMA,RMA,
Return Merchandise Authorization,Ủy quyền trả hàng,
Return Reason,Lý do trả,
Return Status,Trạng thái trả,
Received for Return,Đã nhận trả,
Credited for Return,Đã tín dụng trả,
# ---- Stock receipt / issue ----
Stock In,Nhập kho,
Stock Out,Xuất kho,
Inbound,Nhập,
Outbound,Xuất,
Goods Receipt Note,Phiếu nhập kho,
GRN,Phiếu nhập kho,
Goods Issue Note,Phiếu xuất kho,
GIN,Phiếu xuất kho,
Stock Movement,Biến động kho,
Stock Movement Report,Báo cáo biến động kho,
Stock Ledger Report,Báo cáo sổ kho,
Stock Summary,Tóm tắt tồn kho,
Aging Report,Báo cáo tuổi hàng,
Valuation Report,Báo cáo định giá,
Stock Value Report,Báo cáo giá trị tồn,
Stock Level Report,Báo cáo mức tồn,
Reorder Report,Báo cáo đặt lại,
Low Stock Report,Báo cáo sắp hết,
Overstocked,Dư thừa,
Understocked,Thiếu hụt,
Just Right,Vừa đủ,
Stock Status,Trạng thái tồn kho,
# ---- UOM ----
UOM Conversion,Quy đổi ĐVT,
UOM Conversion Factor,Hệ số quy đổi ĐVT,
UOM Conversion Detail,Chi tiết quy đổi ĐVT,
Source UOM,ĐVT nguồn,
Target UOM,ĐVT đích,
From UOM,Từ ĐVT,
To UOM,Đến ĐVT,
# ---- Serial / Batch ----
Serial Numbers,Các số seri,
Serial Status,Trạng thái seri,
Serial Warranty,Bảo hành theo seri,
Warranty Period,Thời gian bảo hành,
Under Warranty,Trong bảo hành,
Out of Warranty,Hết bảo hành,
Warranty Expiry,Hết bảo hành,
Warranty Start,Bắt đầu bảo hành,
Warranty Claim,Yêu cầu bảo hành,
Batch Number,Số lô,
Batch Status,Trạng thái lô,
Batch Expiry,Hạn lô,
Batch Size,Kích thước lô,
Manufacturing Batch,Lô sản xuất,
Purchase Batch,Lô mua,
Production Lot,Lô sản xuất,
Lot Number,Số lô,
# ---- Stock entries ----
Stock Entry Type,Loại phiếu kho,
Material Consumption,Tiêu thụ vật tư,
Material Transfer for Manufacture,Chuyển vật tư sản xuất,
Transfer to Warehouse,Chuyển đến kho,
Transfer from Warehouse,Chuyển từ kho,
Internal Stock Transfer,Chuyển kho nội bộ,
External Transfer,Chuyển kho ngoại bộ,
Stock Entry Reference,Tham chiếu phiếu kho,
Stock Entry Status,Trạng thái phiếu kho,
# ---- Warehouse management ----
Default Source Warehouse,Kho nguồn mặc định,
Default Target Warehouse,Kho đích mặc định,
Warehouse Manager,Quản lý kho,
Warehouse Staff,Nhân viên kho,
Warehouse Address,Địa chỉ kho,
Warehouse Contact,Liên hệ kho,
Warehouse Type Retail,Kho bán lẻ,
Warehouse Type Wholesale,Kho bán sỉ,
Warehouse Type Distribution,Kho phân phối,
Warehouse Type Transit,Kho trung chuyển,
Central Warehouse,Kho trung tâm,
Regional Warehouse,Kho khu vực,
Local Warehouse,Kho địa phương,
Virtual Warehouse,Kho ảo,
Physical Warehouse,Kho vật lý,
In Transit Warehouse,Kho trung chuyển,
Return Warehouse,Kho hàng trả,
Rejected Warehouse,Kho hàng từ chối,
Scrap Warehouse,Kho phế liệu,
Consumed Warehouse,Kho đã tiêu thụ,
Manufactured Warehouse,Kho sản xuất,
# ---- Delivery ----
Delivery Date,Ngày giao hàng,
Delivery Time,Giờ giao hàng,
Delivery Window Start,Bắt đầu cửa sổ giao,
Delivery Window End,Kết thúc cửa sổ giao,
Delivery Instructions,Hướng dẫn giao hàng,
Delivery Address,Địa chỉ giao hàng,
Delivery Contact,Liên hệ giao hàng,
Delivery Phone,SĐT giao hàng,
Drop Location,Điểm giao,
Pickup Location,Điểm lấy,
Pickup Date,Ngày lấy,
Pickup Time,Giờ lấy,
Pickup Contact,Liên hệ lấy hàng,
Route,Tuyến,
Route Name,Tên tuyến,
Driver,Tài xế,
Driver Name,Tên tài xế,
Driver License,Giấy phép lái xe,
Vehicle Number,Số xe,
Vehicle Type,Loại xe,
Trip Number,Số chuyến,
Trip Date,Ngày chuyến,
Trip Status,Trạng thái chuyến,
Trip Stops,Điểm dừng,
Odometer,Đồng hồ km,
Odometer Start,Km bắt đầu,
Odometer End,Km kết thúc,
Fuel Consumed,Nhiên liệu tiêu thụ,
# ---- Stock reconciliation ----
Reconcile Stock,Đối chiếu kho,
Stock Count,Đếm kho,
Physical Count Sheet,Phiếu đếm kho thực tế,
Count Date,Ngày đếm,
Count Time,Giờ đếm,
Count Team,Đội đếm,
Count Method,Phương pháp đếm,
Complete Count,Đếm đủ,
Partial Count,Đếm một phần,
Blind Count,Đếm mù,
Cycle Count Schedule,Lịch đếm chu kỳ,
Reconciliation Difference,Chênh lệch đối chiếu,
Reconciliation Value,Giá trị đối chiếu,
Adjustment Reason,Lý do điều chỉnh,
Damage Reason,Lý do hỏng,
Theft,Trộm cắp,
Damage,Hư hỏng,
Shrinkage,Hao hụt,
Obsolete,Lỗi thời,
Counting Error,Lỗi đếm,
# ---- Stock valuation ----
Standard Cost,Giá chuẩn,
Average Cost,Giá trung bình,
Weighted Average,Trung bình gia quyền,
Specific Identification,Xác định cụ thể,
LIFO Valuation,Định giá LIFO,
FIFO Valuation,Định giá FIFO,
Moving Average Valuation,Định giá bình quân di động,
Revaluation,Định giá lại,
Revaluation Amount,Số tiền định giá lại,
Revaluation Date,Ngày định giá lại,
Historical Cost,Giá lịch sử,
Replacement Cost,Giá thay thế,
Current Cost,Giá hiện tại,
Landed Cost Factor,Hệ số chi phí cập bến,
Additional Costs,Chi phí bổ sung,
Freight,Cước phí,
Insurance,Bảo hiểm,
Customs Duty,Thuế hải quan,
Import Duty,Thuế nhập khẩu,
Handling Charges,Phí xử lý,
Clearance Charges,Phí thông quan,
Documentation Fee,Phí chứng từ,
# ---- Stock alert ----
Low Stock Alert,Cảnh báo sắp hết,
Expiry Alert,Cảnh báo hết hạn,
Dead Stock Alert,Cảnh báo hàng tồn lâu,
Reorder Alert,Cảnh báo đặt lại,
Over Stock Alert,Cảnh báo tồn dư,
Auto Reorder,Đặt hàng tự động,
Suggested Order,Đơn hàng đề xuất,
Suggested Quantity,Số lượng đề xuất,
ABC Analysis,Phân tích ABC,
Class A,Loại A,
Class B,Loại B,
Class C,Loại C,
Fast Moving Items,Hàng xoay vòng nhanh,
Slow Moving Items,Hàng xoay vòng chậm,
Non Moving Items,Hàng không xoay,
Obsolete Items,Hàng lỗi thời,
Dead Inventory,Hàng chết,
# ---- Picking ----
Pick List Status,Trạng thái DS lấy hàng,
Picked,Đã lấy,
Picking,Đang lấy hàng,
Partial Pick,Lấy một phần,
Full Pick,Lấy đủ,
Pick Quantity,Số lượng lấy,
Pick Location,Vị trí lấy,
Pick Order,Thứ tự lấy,
Pick Strategy,Chiến lược lấy,
Single Order Pick,Lấy theo đơn,
Batch Pick,Lấy theo lô,
Zone Pick,Lấy theo khu vực,
Wave Pick,Lấy theo đợt,
Pick to Cart,Lấy vào xe,
Pick to Pack,Lấy để đóng gói,
Pick to Light,Lấy có đèn báo,
Voice Pick,Lấy theo giọng nói,
# ---- Packing ----
Packing Status,Trạng thái đóng gói,
Pack Weight,Trọng lượng đóng gói,
Pack Dimensions,Kích thước gói,
Packing Material,Vật liệu đóng gói,
Pack Type,Loại gói,
Box,Hộp,
Carton,Thùng carton,
Pallet,Pallet,
Container,Công-ten-nơ,
Shipping Label,Nhãn vận chuyển,
Packing Slip Number,Số phiếu đóng gói,
Number of Packages,Số lượng gói,
# ======================================================================
# BATCH 3: Manufacturing Deep
# ======================================================================
Work Order Number,Số lệnh sản xuất,
Work Order Date,Ngày lệnh sản xuất,
Work Order Status,Trạng thái lệnh sản xuất,
Not Started,Chưa bắt đầu,
Material Transferred,Đã chuyển vật tư,
Finished,Đã hoàn thành,
Stop Work,Dừng sản xuất,
Stopped,Đã dừng,
Resume Work,Tiếp tục sản xuất,
Production Item,Sản phẩm sản xuất,
Qty to Manufacture,Số lượng sản xuất,
Manufactured Qty,Số lượng đã sản xuất,
Pending Quantity,Số lượng còn lại,
Produced Quantity,Số lượng đã sản xuất,
Rejected Quantity,Số lượng từ chối,
Scrap Quantity,Số lượng phế liệu,
Additional Operating Cost,Chi phí vận hành bổ sung,
Total Operating Cost,Tổng chi phí vận hành,
Total Raw Material Cost,Tổng chi phí NVL,
Total Manufacturing Cost,Tổng chi phí sản xuất,
Per Unit Cost,Chi phí mỗi đơn vị,
Standard Qty,Số lượng chuẩn,
Base Qty,Số lượng cơ sở,
Stock Qty,Số lượng tồn,
Actual Qty,Số lượng thực tế,
Planned Quantity,Số lượng kế hoạch,
Transferred Qty,Số lượng đã chuyển,
Consumed Qty,Số lượng đã tiêu thụ,
Required Qty,Số lượng yêu cầu,
Available Qty,Số lượng sẵn có,
Required Date,Ngày yêu cầu,
# ---- BOM ----
BOM Number,Số ĐMNVL,
BOM Name,Tên ĐMNVL,
Active BOM,ĐMNVL đang dùng,
Default BOM,ĐMNVL mặc định,
With Operations,Kèm công đoạn,
Transfer Material Against,Chuyển vật tư cho,
BOM Quantity,Số lượng ĐMNVL,
Raw Materials,Nguyên vật liệu,
Sub Assemblies,Cụm bán thành phẩm,
Costing,Tính giá thành,
Currency Rate,Tỷ giá,
Rate of Materials Based On,Tỷ giá vật tư dựa trên,
Include Tax Breakup,Gồm chi tiết thuế,
Total Cost,Tổng chi phí,
Scrap Material Cost,Chi phí vật tư phế liệu,
Scrap Items,Vật tư phế liệu,
Scrap Item Name,Tên vật tư phế liệu,
Scrap Amount,Số tiền phế liệu,
Bill of Operations,ĐM công đoạn,
BOM Explosion,Khai triển ĐMNVL,
BOM Compare,So sánh ĐMNVL,
BOM Replace,Thay thế ĐMNVL,
BOM Update,Cập nhật ĐMNVL,
BOM Creator,Trình tạo ĐMNVL,
# ---- Operations ----
Operation Name,Tên công đoạn,
Operation Description,Mô tả công đoạn,
Operation Workstation,Trạm làm việc công đoạn,
Hour Rate,Đơn giá giờ,
Time in Mins,Thời gian (phút),
Time Based,Theo thời gian,
Quantity Based,Theo số lượng,
Based on Hourly Rate,Theo đơn giá giờ,
Based on Fixed Rate,Theo giá cố định,
Capacity Utilization,Hiệu suất sử dụng,
# ---- Job Card ----
Job Card Number,Số phiếu công việc,
Job Card Date,Ngày phiếu công việc,
Job Card Status,Trạng thái phiếu công việc,
For Quantity,Cho số lượng,
Time Logs,Nhật ký thời gian,
Time Log,Nhật ký thời gian,
Completed Qty,Số lượng hoàn thành,
Time in Minutes,Thời gian (phút),
Total Time in Mins,Tổng thời gian (phút),
Expected Start Date,Ngày bắt đầu dự kiến,
Expected End Date,Ngày kết thúc dự kiến,
Total Time,Tổng thời gian,
# ---- Production planning ----
Production Plan Number,Số kế hoạch SX,
Production Plan Date,Ngày kế hoạch SX,
Production Status,Trạng thái sản xuất,
Include Subcontracted Items,Gồm mặt hàng gia công,
Include Non Stock Items,Gồm mặt hàng không quản kho,
Get Sales Orders,Lấy đơn bán,
Get Material Request,Lấy yêu cầu vật tư,
Get Items From,Lấy mặt hàng từ,
For Warehouse,Cho kho,
Ignore Existing,Bỏ qua hiện có,
Sales Order Planning,Kế hoạch từ đơn bán,
Material Request Planning,Kế hoạch từ yêu cầu vật tư,
Material Planning,Kế hoạch vật tư,
Capacity Requirement,Yêu cầu công suất,
Capacity Plan,Kế hoạch công suất,
Planned Start,Bắt đầu kế hoạch,
Planned End,Kết thúc kế hoạch,
Available Capacity,Công suất khả dụng,
Required Capacity,Công suất yêu cầu,
Capacity Gap,Chênh lệch công suất,
Overloaded,Quá tải,
Under Utilized,Dưới tải,
Optimal,Tối ưu,
# ---- Workstation ----
Workstation Name,Tên trạm,
Working Hours,Giờ làm việc,
Hourly Capacity,Công suất giờ,
Per Hour Capacity,Công suất mỗi giờ,
Is Active,Đang hoạt động,
Net Hour Rate,Đơn giá giờ thuần,
Electricity Cost,Chi phí điện,
Consumable Cost,Chi phí vật tư tiêu hao,
Rent Cost,Chi phí thuê,
Wages,Tiền công,
Wages per Hour,Tiền công mỗi giờ,
Production Capacity,Công suất sản xuất,
Machine,Máy,
Tool,Công cụ,
Equipment,Thiết bị,
Machine Number,Số máy,
Machine Status,Trạng thái máy,
Machine Running,Máy đang chạy,
Machine Idle,Máy rảnh,
Machine Maintenance,Máy đang bảo trì,
Machine Breakdown,Máy hỏng,
Machine Setup,Máy đang chuẩn bị,
# ---- Quality in Manufacturing ----
Inspection Criteria,Tiêu chí kiểm tra,
Inspection Type,Loại kiểm tra,
In Process,Trong quy trình,
Incoming,Đầu vào,
Outgoing,Đầu ra,
Sampling Plan,Kế hoạch lấy mẫu,
Sample Size,Kích thước mẫu,
Acceptance Criteria,Tiêu chí chấp nhận,
Rejection Criteria,Tiêu chí từ chối,
Inspection Result,Kết quả kiểm tra,
Inspector,Người kiểm tra,
Inspection Date,Ngày kiểm tra,
Defect Type,Loại lỗi,
Defect Count,Số lượng lỗi,
Defects per Million,Lỗi trên triệu,
Quality Level,Mức chất lượng,
AQL,Mức chất lượng chấp nhận,
Acceptable Quality Level,Mức chất lượng chấp nhận,
# ---- Subcontracting ----
Subcontract,Gia công,
Subcontractor,Nhà gia công,
Subcontracting Order,Đơn gia công,
Subcontracting PO,Đơn mua gia công,
Subcontracting Receipt,Phiếu nhận gia công,
Material Transfer for Subcontract,Chuyển vật tư gia công,
Subcontracted Raw Materials,NVL gia công,
Supplied Items,Vật tư cung cấp,
Reserved Qty for Sub Contract,SL dự trữ gia công,
Subcontracted Qty,SL đã gia công,
# ---- Production ----
Finished Product,Sản phẩm hoàn thành,
Semi Finished,Bán thành phẩm,
Work In Process,Sản phẩm dở dang,
WIP,Sản phẩm dở dang,
WIP Warehouse,Kho WIP,
Finished Goods Warehouse,Kho thành phẩm,
FG Warehouse,Kho TP,
Raw Materials Warehouse,Kho NVL,
RM Warehouse,Kho NVL,
# ---- Production reports ----
Production Variance,Chênh lệch sản xuất,
Production Efficiency,Hiệu suất sản xuất,
Production Cost Analysis,Phân tích chi phí SX,
Production Value,Giá trị sản xuất,
Production Report,Báo cáo sản xuất,
Downtime Analysis,Phân tích dừng sản xuất,
Downtime Reason,Lý do dừng sản xuất,
Scheduled Downtime,Dừng có kế hoạch,
Unscheduled Downtime,Dừng bất ngờ,
OEE,Hiệu suất thiết bị tổng thể,
Overall Equipment Effectiveness,Hiệu suất thiết bị tổng thể,
Availability,Tính khả dụng,
Quality Rate,Tỷ lệ chất lượng,
# ---- Work in progress ----
Operation Progress,Tiến độ công đoạn,
Work Order Progress,Tiến độ LSX,
Completion Percentage,Phần trăm hoàn thành,
Remaining Quantity,Số lượng còn lại,
Expected Completion,Hoàn thành dự kiến,
Ahead of Schedule,Trước kế hoạch,
Behind Schedule,Sau kế hoạch,
On Schedule,Đúng kế hoạch,
# ---- Manufacturing settings ----
Update BOM Cost Automatically,Tự động cập nhật chi phí ĐMNVL,
Default WIP Warehouse,Kho WIP mặc định,
Default FG Warehouse,Kho TP mặc định,
Default Scrap Warehouse,Kho phế liệu mặc định,
Allow Production on Holidays,Cho phép SX ngày nghỉ,
Backflush Raw Materials,Xuất lùi NVL,
Backflush from WIP,Xuất lùi từ WIP,
Capacity Planning For Days,Kế hoạch công suất cho số ngày,
Default Operation,Công đoạn mặc định,
Default Routing,Định tuyến mặc định,
Routing Name,Tên định tuyến,
# ---- Maintenance ----
Maintenance,Bảo trì,
Preventive Maintenance,Bảo trì phòng ngừa,
Corrective Maintenance,Bảo trì khắc phục,
Breakdown Maintenance,Bảo trì hỏng hóc,
Scheduled Maintenance,Bảo trì định kỳ,
Emergency Maintenance,Bảo trì khẩn cấp,
Maintenance Schedule,Lịch bảo trì,
Maintenance Date,Ngày bảo trì,
Maintenance Type,Loại bảo trì,
Maintenance Team,Đội bảo trì,
Maintenance Technician,Kỹ thuật viên bảo trì,
Maintenance Cost,Chi phí bảo trì,
Maintenance Duration,Thời gian bảo trì,
Next Maintenance Due,Lần bảo trì tiếp theo,
Maintenance Frequency,Tần suất bảo trì,
Maintenance Report,Báo cáo bảo trì,
Maintenance Log,Nhật ký bảo trì,
Service Request,Yêu cầu bảo trì,
Spare Parts,Phụ tùng,
Spare Parts Inventory,Tồn kho phụ tùng,
Part Number,Số phụ tùng,
Part Description,Mô tả phụ tùng,
Part Category,Danh mục phụ tùng,
Compatible Equipment,Thiết bị tương thích,
